id,businessId,name,stage,startDate,closeDate,notes,userId,createdAt,updatedAt,lastActivityDate,nextActivityDate,responsibleId,hasRequest,bookingRequestId,dealId,lostReason,name
,cml8gypp7001prbhp5f42n9wm,Burger Shack 2025|Jun-2025-I,Iniciación,6/12/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,6/12/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gzmp500awrbhpzx1ygamf,Burger Week 2025|Mar-2025-I,Iniciación,3/12/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,3/12/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5xlb0z008ahpexnjmjay7b,ByShalom Studio - Q4 2025|Oct-2025-I,Iniciación,10/15/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,10/15/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8g9tun013knvhpn95a48tg,CaBaEspectaculos Internacional Q4 2025|Oct-2025-I,Reunión,10/22/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,10/22/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cmk5zgjze024ghpilso703dxx,Cabañas Casita La Ermita - Q2 2025|Jun-2025-I,Reunión,6/18/2025,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,6/18/2025,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
,cml8gyq46001trbhprqq41tqd,Cabañas Medieval HUT (Volcán) - Q2 2025|Mar-2025-I,Iniciación,3/20/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,3/20/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8g8ug700q0nvhpec43oamw,Cake Dog - Q2 2025|Feb-2025-I,Iniciación,2/4/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,2/4/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8ga45u017envhpw1rc1dom,Caliope 2025|Mar-2025-I,Iniciación,3/6/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,3/6/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gyqen001xrbhp62ney0d0,Calle Dragones - Q4 2025|Dec-2025-I,Iniciación,12/15/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,12/15/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gyqen001xrbhp62ney0d0,Calle Dragones Q3 2025|Jul-2025-I,Reunión,7/23/2025,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,7/23/2025,,,,user_39B2dgxxU9FpCItuDzDvGc7OYQV,FALSE,,,,
,cml8gyqh0001yrbhpxhq9t27a,Camping Resort Hotel Q3 2025|Jul-2025-I,Reunión,7/9/2025,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,7/9/2025,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
,cml8gyqjb001zrbhpc4x8fwro,Canal de Panamá - Alianza |Jan-2025-I,Iniciación,1/29/2025,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,1/29/2025,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
,cml8gzm8p00arrbhpj7u81cge,Canal Railway Company 2025|Feb-2025-I,Iniciación,2/4/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,2/4/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5xl9f6007mhpexmhyaf0vh,Canisland |Apr-2025-I,Iniciación,4/22/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,4/22/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cmk5xksa4000khpexm0tl7si9,Casa Brava Resto-Bar |Jan-2025-I,Iniciación,1/7/2025,,,user_38w3kMPJn8vNMvILexCx95wSjTP,1/7/2025,,,,user_38w3kMPJn8vNMvILexCx95wSjTP,FALSE,,,,
,cml8gyqsq0023rbhpqe71wh5w,Casa Bruja |Dec-2025-I,Iniciación,12/5/2025,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,12/5/2025,,,,user_38J3Yv989jVwEUtbVk9VWJUVSxs,FALSE,,,,
